file_id,segment_id,segment_dir,condition_group,condition_value,pipeline_version,I_min,I_max,N_points,has_both_signs,sweep_monotonicity,sweep_direction,n_segments,spacing_cv,parity_valid,parity_reason,f_overlap,I_max_common,odd_ratio_L1,odd_energy_L2,odd_sign_mode,odd_sign_consistency,odd_sign_entropy,odd_sign_pos_fraction,I_knee,I_knee_norm,knee_score,knee_valid,knee_edge_flag,phi0_proxy,phi0_sign,phi0_confidence,phi0_method,odd_ratio_pre,odd_ratio_post,odd_sign_mode_pre,odd_sign_consistency_pre,odd_sign_entropy_pre,odd_sign_mode_post,odd_sign_consistency_post,odd_sign_entropy_post,parity_lock_flag,parity_flip_at_knee
"D4.2__Fig 1__IV_data__IV_BS16_C1S1_Vpp_7p500_FRQ_11_AVG_100_Vgain_2E3_Igain_1E5_Rb_0E0_Rser_0E0_____Temp_2.740E-1K_MEASres_1p4E1_Thu,May2,2019_82950PM",0,up,IV_data,,5.5,-2.992208e-07,3.660897e-05,2525,True,0.5023004600920185,down,3,0.0478657363376554,False,low_overlap,0.0079574918443116,,,,,,,,,,,,,,,,,,,,,,,,,,
"D4.2__Fig 1__IV_data__IV_BS16_C1S1_Vpp_7p500_FRQ_11_AVG_100_Vgain_2E3_Igain_1E5_Rb_0E0_Rser_0E0_____Temp_2.740E-1K_MEASres_1p4E1_Thu,May2,2019_82950PM",1,down,IV_data,,5.5,-3.675721e-05,3.660709e-05,5022,True,0.5023004600920185,down,3,0.0478657363376554,True,ok,0.995582198685652,3.660709e-05,225.3547905092031,0.7070915814240415,1.0,0.9675810473815462,0.2063813713316291,0.9675810473815462,3.660709e-06,0.0977443609022556,98.0071215828808,True,False,1.5663497068214247,1.0,1.0,odd_integral,0.2632863894569334,228.22019478274345,1.0,0.675,0.909736122531166,1.0,1.0,0.0,False,False
"D4.2__Fig 1__IV_data__IV_BS16_C1S1_Vpp_7p500_FRQ_11_AVG_100_Vgain_2E3_Igain_1E5_Rb_0E0_Rser_0E0_____Temp_2.740E-1K_MEASres_1p4E1_Thu,May2,2019_82950PM",2,up,IV_data,,5.5,-3.6757e-05,-9.751698e-07,2453,True,0.5023004600920185,down,3,0.0478657363376554,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000000750],0,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-7.5e-07,5.5,-3.66934e-07,2.239526e-05,2519,True,0.5000500050005,down,3,0.0940643957861058,False,low_overlap,0.0161544689428021,,,,,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000000750],1,down,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-7.5e-07,5.5,-2.268256e-05,2.239414e-05,5000,True,0.5000500050005,down,3,0.0940643957861058,True,ok,0.9870470488572682,2.239414e-05,2.875245462521478,0.6893873220277877,1.0,0.9675810473815462,0.2063813713316291,0.9675810473815462,1.32125426e-05,0.5889724310776943,1139.7573462041344,True,False,1.906140101048248,1.0,1.0,odd_integral,0.1119514375485231,7.492618343693127,1.0,0.9449152542372882,0.3076159560649675,1.0,1.0,0.0,False,False
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000000750],2,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-7.5e-07,5.5,-2.268164e-05,-3.766996e-07,2481,True,0.5000500050005,down,3,0.0940643957861058,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000001500],0,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-1.5e-06,5.5,-3.660693e-07,2.239419e-05,2518,True,0.5000500050005,down,7,0.0969406233541012,False,low_overlap,0.0161299938939244,,,,,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000001500],1,down,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-1.5e-06,5.5,-2.268235e-05,2.239364e-05,4998,True,0.5000500050005,down,7,0.0969406233541012,True,ok,0.9870494920772902,2.239364e-05,2.767811146678287,0.688073272732621,1.0,0.9875311720698254,0.0967480473378075,0.9875311720698254,1.3212247600000002e-05,0.5889724310776943,1175.4650351026846,True,False,1.9181263839225289,1.0,1.0,odd_integral,0.1100690712044904,7.22914638664636,1.0,0.9788135593220338,0.1480512313891885,1.0,1.0,0.0,False,False
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000001500],2,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-1.5e-06,5.5,-2.268215e-05,-3.759367e-07,2480,True,0.5000500050005,down,7,0.0969406233541012,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000002250],0,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-2.25e-06,5.5,-3.664762e-07,2.239501e-05,2518,True,0.5001500150015001,down,7,0.0932960251028239,False,low_overlap,0.016094561240972,,,,,,,,,,,,,,,,,,,,,,,,,,
