file_id,segment_id,segment_dir,condition_group,condition_value,pipeline_version,I_min,I_max,N_points,dominant_direction,direction_pos_frac,direction_neg_frac,parity_valid,parity_reason,f_overlap,odd_energy_L2,odd_ratio_pre,odd_ratio_post,I_knee,I_knee_norm,knee_score,knee_valid,knee_edge_flag,coherence_gradient_pre,coherence_gradient_post,delta_coherence_gradient,odd_energy_pre_median,odd_energy_post_median,odd_flatness_pre_median,odd_flatness_post_median,corr_pm_pre_median,corr_pm_post_median,window_count_pre,window_count_post,knee_alignment_gain_odd_ratio_post,knee_alignment_gain_coherence_post
"D4.2__Fig 1__IV_data__IV_BS16_C1S1_Vpp_7p500_FRQ_11_AVG_100_Vgain_2E3_Igain_1E5_Rb_0E0_Rser_0E0_____Temp_2.740E-1K_MEASres_1p4E1_Thu,May2,2019_82950PM",0,up,IV_data,,5.5,-2.992208e-07,3.660897e-05,2525,increasing,0.9996038034865292,0.0,False,low_overlap,0.0079574918443116,,,,,,,,,,,,,,,,,,,,,
"D4.2__Fig 1__IV_data__IV_BS16_C1S1_Vpp_7p500_FRQ_11_AVG_100_Vgain_2E3_Igain_1E5_Rb_0E0_Rser_0E0_____Temp_2.740E-1K_MEASres_1p4E1_Thu,May2,2019_82950PM",1,down,IV_data,,5.5,-3.675721e-05,3.660709e-05,5022,decreasing,0.0,1.0,True,ok,0.995582198685652,0.9934859281942612,0.2680161828321457,228.22019478274345,3.660709e-06,0.0977443609022556,98.0071215828808,True,False,0.892596340063106,0.204167355299058,-0.6884289847640479,0.3819517649112585,0.988783211435099,,0.2661404767781845,-0.0665659219842935,-0.9999342157863356,2.0,29.0,1.0017206833018284,0.9030713577214216
"D4.2__Fig 1__IV_data__IV_BS16_C1S1_Vpp_7p500_FRQ_11_AVG_100_Vgain_2E3_Igain_1E5_Rb_0E0_Rser_0E0_____Temp_2.740E-1K_MEASres_1p4E1_Thu,May2,2019_82950PM",2,up,IV_data,,5.5,-3.6757e-05,-9.751698e-07,2453,increasing,1.0,0.0,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000000750],0,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-7.5e-07,5.5,-3.66934e-07,2.239526e-05,2519,increasing,1.0,0.0,False,low_overlap,0.0161544689428021,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000000750],1,down,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-7.5e-07,5.5,-2.268256e-05,2.239414e-05,5000,decreasing,0.0,1.0,True,ok,0.9870470488572682,0.8143725465711935,0.1123783657687741,7.492618343693127,1.32125426e-05,0.5889724310776943,1139.7573462041344,True,False,0.0874931097030351,0.5191141442729749,0.4316210345699397,0.0166178150031697,0.8702401407149682,0.9992932999093824,0.1827210686749139,-0.0146408299538869,-0.9991903998289936,25.0,6.0,1.1184304582941385,1.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000000750],2,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-7.5e-07,5.5,-2.268164e-05,-3.766996e-07,2481,increasing,1.0,0.0,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000001500],0,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-1.5e-06,5.5,-3.660693e-07,2.239419e-05,2518,increasing,1.0,0.0,False,low_overlap,0.0161299938939244,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000001500],1,down,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-1.5e-06,5.5,-2.268235e-05,2.239364e-05,4998,decreasing,0.0,1.0,True,ok,0.9870494920772902,0.8086877472910191,0.1104960766559015,7.22914638664636,1.3212247600000002e-05,0.5889724310776943,1175.4650351026846,True,False,0.0773156500344327,0.5227740082505722,0.4454583582161394,0.0280705651517688,0.8656603763146494,0.9991853169446774,0.1841794340981342,0.0929787757137584,-0.9990499659448588,25.0,6.0,1.1118828071128777,1.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000001500],2,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-1.5e-06,5.5,-2.268215e-05,-3.759367e-07,2480,increasing,1.0,0.0,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000002250],0,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-2.25e-06,5.5,-3.664762e-07,2.239501e-05,2518,increasing,1.0,0.0,False,low_overlap,0.016094561240972,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000002250],1,down,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-2.25e-06,5.5,-2.2682e-05,2.239384e-05,4999,decreasing,0.0,1.0,True,ok,0.9871627026247468,0.8090127416083462,0.1110507511016396,7.235846987273804,1.3212365599999998e-05,0.5889724310776941,1203.1740366994236,True,False,0.0796836948765156,0.5153056986271884,0.4356220037506728,0.0237020864954641,0.8656549917703936,0.999297075930794,0.18481045236802,-0.0480955788299987,-0.9991261212478976,25.0,6.0,1.0419126830956775,1.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000002250],2,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-2.25e-06,5.5,-2.267844e-05,-3.757841e-07,2478,increasing,1.0,0.0,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000003000],0,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-3e-06,5.5,-3.667305e-07,2.239384e-05,2518,increasing,1.0,0.0,False,low_overlap,0.0161504708464221,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000003000],1,down,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-3e-06,5.5,-2.268261e-05,2.239333e-05,5001,decreasing,0.0,0.9998,True,ok,0.9870650493425036,0.8151036484682258,0.1137352896642141,7.536933120491582,1.32120647e-05,0.5889724310776943,1091.5196028926505,True,False,0.0937696869919392,0.5046991513222007,0.4109294643302614,0.0146570930516321,0.8702144862810774,0.999598204032856,0.1811464820413005,-0.1936304837270189,-0.9992632078739428,25.0,6.0,0.92536663159939,2.147971668517897
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000003000],2,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-3e-06,5.5,-2.268073e-05,-3.760893e-07,2479,increasing,1.0,0.0,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000003750],0,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-3.75e-06,5.5,-3.664254e-07,2.239328e-05,2517,increasing,1.0,0.0,False,low_overlap,0.0161578769528656,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000003750],1,down,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-3.75e-06,5.5,-2.268159e-05,2.239364e-05,4998,decreasing,0.0,1.0,True,ok,0.987151919977308,0.8167534462595444,0.1160732442490052,7.596502139409671,1.3212247600000002e-05,0.5889724310776943,1058.0447271002554,True,False,0.0898235498618642,0.4884962262973071,0.3986726764354429,0.0171417812164662,0.8705875720747949,0.9993095134765752,0.1869274052112353,-0.0921782013280913,-0.9988096750103916,25.0,6.0,0.9488660352267474,2.199536061043604
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000003750],2,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-3.75e-06,5.5,-2.268159e-05,-3.766487e-07,2480,increasing,1.0,0.0,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000004500],0,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-4.5e-06,5.5,-3.662728e-07,2.239425e-05,2520,increasing,1.0,0.0,False,low_overlap,0.0161407613252334,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000004500],1,down,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-4.5e-06,5.5,-2.2682e-05,2.239287e-05,4998,decreasing,0.0,1.0,True,ok,0.9871535724328028,0.8171179928534178,0.1076839369540784,7.499964916764188,1.3155811125000002e-05,0.5864661654135339,1061.470302665792,True,False,0.0945586854456187,0.4840708565150062,0.3895121710693874,0.0145627330592236,0.8701117201393394,0.9985330399312436,0.1865337892280709,-0.049705285513336,-0.999186007923344,25.0,6.0,1.0979532817287907,1.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000004500],2,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-4.5e-06,5.5,-2.267971e-05,-3.766487e-07,2478,increasing,1.0,0.0,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000005250],0,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-5.25e-06,5.5,-3.6729e-07,2.239455e-05,2519,increasing,0.999602859412232,0.0,False,low_overlap,0.0161974425483629,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000005250],1,down,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-5.25e-06,5.5,-2.268276e-05,2.239191e-05,4999,decreasing,0.0,1.0,True,ok,0.9870292603518028,0.82211991802119,0.1118842640547853,7.85285410244192,1.3155247125e-05,0.5864661654135339,1122.2995585343074,True,False,0.0962105747941187,0.4816741308646814,0.3854635560705627,0.0173314116917275,0.875583573165557,0.9990238098178132,0.1830408581550135,-0.4036826188332439,-0.9994039384209168,25.0,6.0,1.0585301149199826,1.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000005250],2,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-5.25e-06,5.5,-2.268139e-05,-3.760384e-07,2480,increasing,1.0,0.0,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000006000],0,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-6e-06,5.5,-3.658659e-07,2.23945e-05,2518,increasing,1.0,0.0,False,low_overlap,0.0161692262083233,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000006000],1,down,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-6e-06,5.5,-2.268073e-05,2.239358e-05,4996,decreasing,0.0,1.0,True,ok,0.9871751499412156,0.8228458966347654,0.1224982053332977,7.909639148052746,1.3156228250000002e-05,0.5864661654135339,1149.6821048322463,True,False,0.0740289518632727,0.4778938657939349,0.4038649139306621,0.0568869207259135,0.8756191978563517,0.9993406319385552,0.1810729626968619,-0.0158672157188393,-0.9990784308614484,25.0,6.0,1.006973757208986,1.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000006000],2,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-6e-06,5.5,-2.268215e-05,-3.771574e-07,2480,increasing,1.0,0.0,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000006750],0,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-6.75e-06,5.5,-3.662219e-07,2.239394e-05,2517,increasing,1.0,0.0,False,low_overlap,0.0160910801176427,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000006750],1,down,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-6.75e-06,5.5,-2.268164e-05,2.239409e-05,4999,decreasing,0.0,0.9997999199679872,True,ok,0.9872301108748398,0.8211246401023633,0.1246099098113586,7.536035894401807,1.3156527875e-05,0.5864661654135339,1101.9387304702402,True,False,0.0739269419690719,0.4575951473108696,0.3836682053417977,0.0592538684823657,0.8691093177809491,0.9993538407963444,0.1830071197353237,0.12884688526451,-0.9993109865718366,25.0,6.0,0.9318506600237696,2.225529609643545
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000006750],2,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-6.75e-06,5.5,-2.268047e-05,-3.764453e-07,2480,increasing,1.0,0.0,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000007500],0,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-7.5e-06,5.5,-3.668323e-07,2.23947e-05,2518,increasing,1.0,0.0,False,low_overlap,0.016138679090385,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000007500],1,down,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-7.5e-06,5.5,-2.26823e-05,2.239308e-05,4998,decreasing,0.0,1.0,True,ok,0.987169699521304,0.8242513728209179,0.1158894607391731,7.756821181810915,1.31559345e-05,0.5864661654135338,1045.7214473578774,True,False,0.1014000434676644,0.4449564003668662,0.3435563568992018,0.0147705007125356,0.8728334590140185,0.9991841428005416,0.1847918842241488,-0.2227188377407915,-0.9994055603421704,25.0,6.0,1.0,1.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000007500],2,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-7.5e-06,5.5,-2.268149e-05,-3.762418e-07,2480,increasing,1.0,0.0,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000008250],0,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-8.25e-06,5.5,-3.668323e-07,2.239506e-05,2519,increasing,1.0,0.0,False,low_overlap,0.0161583868449302,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000008250],1,down,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-8.25e-06,5.5,-2.268266e-05,2.239475e-05,5000,decreasing,0.0,1.0,True,ok,0.9871987117048896,0.8179672427129118,0.0470530169761132,6.616773053888765,1.2485073125e-05,0.556390977443609,1046.7290738534207,True,False,0.0993866063552343,0.4558678666666509,0.3564812603114166,0.0166804027587059,0.8700969823142058,0.9993971256331728,0.1886888814693185,0.0202881417562845,-0.9992696784924266,25.0,6.0,0.9931251719939068,1.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000008250],2,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-8.25e-06,5.5,-2.268235e-05,-3.759875e-07,2481,increasing,1.0,0.0,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,
