file_id,branch_id,branch_dir,condition_group,condition_value,pipeline_version,I_min,I_max,N_points,meta_freq_Hz,meta_vpp,parity_valid,parity_reason,f_overlap,I_max_common,odd_ratio_L1,odd_energy_L2,odd_sign_mode,odd_sign_consistency,odd_sign_entropy,odd_sign_pos_fraction,I_knee,I_knee_norm,knee_score,knee_valid,knee_edge_flag,phi0_proxy,phi0_sign,phi0_confidence,phi0_method,odd_ratio_pre,odd_ratio_post,odd_sign_mode_pre,odd_sign_consistency_pre,odd_sign_entropy_pre,odd_sign_mode_post,odd_sign_consistency_post,odd_sign_entropy_post,parity_lock_flag,parity_flip_at_knee,meta_temp_K
"D4.2__Fig 1__IV_data__IV_BS16_C1S1_Vpp_7p500_FRQ_11_AVG_100_Vgain_2E3_Igain_1E5_Rb_0E0_Rser_0E0_____Temp_2.740E-1K_MEASres_1p4E1_Thu,May2,2019_82950PM",0,up,IV_data,,6.0,-2.992208e-07,3.660897e-05,2525,11.0,7.5,False,low_overlap,0.007957491844311609,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D4.2__Fig 1__IV_data__IV_BS16_C1S1_Vpp_7p500_FRQ_11_AVG_100_Vgain_2E3_Igain_1E5_Rb_0E0_Rser_0E0_____Temp_2.740E-1K_MEASres_1p4E1_Thu,May2,2019_82950PM",1,down,IV_data,,6.0,-3.675721e-05,3.660709e-05,5023,11.0,7.5,True,ok,0.9955821986856521,3.660709e-05,225.3547905092031,0.7070915814240415,1.0,0.9675810473815462,0.2063813713316291,0.9675810473815462,3.6607090000000004e-06,0.09774436090225563,98.0071215828808,True,False,1.5663497068214247,1.0,1.0,odd_integral,0.2632863894569334,228.22019478274342,1.0,0.675,0.9097361225311661,1.0,1.0,0.0,False,False,
"D4.2__Fig 1__IV_data__IV_BS16_C1S1_Vpp_7p500_FRQ_11_AVG_100_Vgain_2E3_Igain_1E5_Rb_0E0_Rser_0E0_____Temp_2.740E-1K_MEASres_1p4E1_Thu,May2,2019_82950PM",2,up,IV_data,,6.0,-3.675523e-05,-9.751698e-07,2452,11.0,7.5,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000000750],0,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-7.5e-07,6.0,-3.66934e-07,2.239526e-05,2521,,,False,low_overlap,0.016154468942802123,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000000750],1,down,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-7.5e-07,6.0,-2.268256e-05,2.239211e-05,5000,,,True,ok,0.9869575456043934,2.239211e-05,2.8746079265268416,0.6893822069937338,1.0,0.9675810473815462,0.2063813713316291,0.9675810473815462,1.32113449e-05,0.5889724310776943,1142.59954858125,True,False,1.9062110376969468,1.0,1.0,odd_integral,0.11175871412682187,7.489286411316899,1.0,0.9449152542372882,0.30761595606496756,1.0,1.0,0.0,False,False,1.4
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000000750],2,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-7.5e-07,6.0,-2.267981e-05,-3.766996e-07,2479,,,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000001500],0,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-1.5e-06,6.0,-3.660693e-07,2.239419e-05,2521,,,False,low_overlap,0.016129993893924423,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000001500],1,down,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-1.5e-06,6.0,-2.268235e-05,2.239292e-05,5000,,,True,ok,0.9870177459329544,2.239292e-05,2.7675449139220283,0.6880703503261159,1.0,0.9875311720698254,0.09674804733780754,0.9875311720698254,1.3267805099999999e-05,0.5914786967418546,1176.7932976748416,True,False,1.9181568083438114,1.0,1.0,odd_integral,0.11790894125596406,7.321131866928653,1.0,0.9789029535864979,0.14755661875465745,1.0,1.0,0.0,False,False,1.4
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000001500],2,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-1.5e-06,6.0,-2.267966e-05,-3.759367e-07,2479,,,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000002250],0,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-2.25e-06,6.0,-3.664762e-07,2.239501e-05,2521,,,False,low_overlap,0.016094561240972062,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000002250],1,down,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-2.25e-06,6.0,-2.2682e-05,2.239247e-05,5001,,,True,ok,0.9871022932604889,2.239247e-05,2.7718051509653785,0.6881458340393023,1.0,0.9750623441396509,0.16833130252462516,0.9750623441396509,1.3211557300000001e-05,0.5889724310776943,1200.1906412287622,True,False,1.9176704730862013,1.0,1.0,odd_integral,0.11058343713813949,7.233924745588184,1.0,0.9576271186440678,0.2530679372656292,1.0,1.0,0.0,False,False,1.4
