file_id,branch_id,direction,n_points,monotonicity,parity_valid,overlap_fraction,pipeline_version,x_name,device_id,experiment_family,T_K,Vgain,Igain,FRQ_Hz,AVG,Vpp,odd_ratio_L1,odd_energy_L2,odd_ratio_post,odd_ratio_pre,parity_lock_after_knee,phi0_proxy,phi0_confidence,I_knee,I_knee_norm,knee_score,knee_valid,knee_edge_flag,odd_energy_ratio,odd_energy_post,odd_energy_pre,odd_flatness,corr_pm,coherence_stability,noise_flatness,I_coil_mA,run_id,B_proxy,odd_energy_ratio_log,odd_energy_ratio_norm,knee_score_norm,alignment_score
"D4.2__Fig 1__IV_data__IV_BS16_C1S1_Vpp_7p500_FRQ_11_AVG_100_Vgain_2E3_Igain_1E5_Rb_0E0_Rser_0E0_____Temp_2.740E-1K_MEASres_1p4E1_Thu,May2,2019_82950PM",0,up,2525,0.9996038034865293,False,,6.0,I_A,BS16_C1S1,Fig1,0.274,2000.0,100000.0,11.0,100.0,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,
"D4.2__Fig 1__IV_data__IV_BS16_C1S1_Vpp_7p500_FRQ_11_AVG_100_Vgain_2E3_Igain_1E5_Rb_0E0_Rser_0E0_____Temp_2.740E-1K_MEASres_1p4E1_Thu,May2,2019_82950PM",1,down,5023,0.9998008761449622,True,0.9955821986856521,6.0,I_A,BS16_C1S1,Fig1,0.274,2000.0,100000.0,11.0,100.0,7.5,225.3547905092031,0.7070915814240415,228.22019478274342,0.2632863894569334,False,1.5663497068214247,1.0,3.6607090000000004e-06,0.09774436090225563,98.0071215828808,True,False,2.7455332864369306,0.988280540088483,0.35995940933147375,0.2677410902585876,-0.9999247345422625,0.9979712201294849,0.02404109819373325,,,,1.3205640064139497,0.0,0.0,0.33265707337649497
"D4.2__Fig 1__IV_data__IV_BS16_C1S1_Vpp_7p500_FRQ_11_AVG_100_Vgain_2E3_Igain_1E5_Rb_0E0_Rser_0E0_____Temp_2.740E-1K_MEASres_1p4E1_Thu,May2,2019_82950PM",2,up,2452,1.0,False,,6.0,I_A,BS16_C1S1,Fig1,0.274,2000.0,100000.0,11.0,100.0,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000000750],0,up,2521,0.9992063492063492,False,,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,-7.5e-07,000000750,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000000750],1,down,5000,0.9995999199839968,True,0.9869575456043934,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,2.8746079265268416,0.6893822069937338,7.489286411316899,0.11175871412682187,False,1.9062110376969468,1.0,1.32113449e-05,0.5889724310776943,1142.59954858125,True,False,52.318504962943905,0.8693555999754745,0.01661659866884389,0.9976359729921881,-0.1372303841698042,0.930062095873012,0.01791733908697416,-7.5e-07,000000750,,3.976283455962869,0.9066979215771538,0.22416428629058255,0.6869747679135828
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000000750],2,up,2479,1.0,False,,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,-7.5e-07,000000750,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000001500],0,up,2521,0.9992063492063492,False,,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,-1.5e-06,000001500,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000001500],1,down,5000,0.9995999199839968,True,0.9870177459329544,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,2.7675449139220283,0.6880703503261159,7.321131866928653,0.11790894125596406,False,1.9181568083438114,1.0,1.3267805099999999e-05,0.5914786967418546,1176.7932976748416,True,False,32.44302162012745,0.8648958106833868,0.02665891669333191,0.9987106222944713,0.016956528549545356,0.9320769699855282,0.017912010827575403,-1.5e-06,000001500,,3.5098431435879034,0.685895450338476,0.23284032859101791,0.616937582971674
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000001500],2,up,2479,1.0,False,,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,-1.5e-06,000001500,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000002250],0,up,2521,0.9992063492063492,False,,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,-2.25e-06,000002250,,,,,
