group_field,metric,r2
device_id,odd_ratio_post,0.0897494766221495
device_id,phi0_proxy,0.001791147184528495
device_id,I_knee_norm,0.028108989428720883
device_id,alignment_score,0.002021600470551858
experiment_family,odd_ratio_post,0.0897494766221495
experiment_family,phi0_proxy,0.001791147184528495
experiment_family,I_knee_norm,0.028108989428720883
experiment_family,alignment_score,0.002021600470551858
temp_bin,odd_ratio_post,0.0
temp_bin,phi0_proxy,0.0
temp_bin,I_knee_norm,0.0
temp_bin,alignment_score,0.0
coil_bin,odd_ratio_post,0.28428621210462407
coil_bin,phi0_proxy,0.6966659120514167
coil_bin,I_knee_norm,0.3052534224536621
coil_bin,alignment_score,0.511981915809478
x_name,odd_ratio_post,0.0
x_name,phi0_proxy,0.0
x_name,I_knee_norm,0.0
x_name,alignment_score,0.0
