file_id,n_points,I_min,I_max,I_range,spacing_cv,spacing_outlier_flag,x_name,pipeline_version,device_id,experiment_family,T_K,Vgain,Igain,FRQ_Hz,AVG,Vpp,I_coil_mA,run_id,B_proxy
"D4.2__Fig 1__IV_data__IV_BS16_C1S1_Vpp_7p500_FRQ_11_AVG_100_Vgain_2E3_Igain_1E5_Rb_0E0_Rser_0E0_____Temp_2.740E-1K_MEASres_1p4E1_Thu,May2,2019_82950PM",10000,-3.675721e-05,3.660897e-05,7.336618e-05,0.04786573633765544,False,I_A,6.0,BS16_C1S1,Fig1,0.274,2000.0,100000.0,11.0,100.0,7.5,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000000750],10000,-2.268256e-05,2.239526e-05,4.507782e-05,0.09406439578610586,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-7.5e-07,000000750,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000001500],10000,-2.268235e-05,2.239419e-05,4.507654e-05,0.09694062335410128,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-1.5e-06,000001500,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000002250],10000,-2.2682e-05,2.239501e-05,4.507701e-05,0.09329602510282398,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-2.25e-06,000002250,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000003000],10000,-2.268261e-05,2.239384e-05,4.507645e-05,0.09599476879728747,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-3e-06,000003000,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000003750],10000,-2.26823e-05,2.239496e-05,4.507726e-05,0.09460260977276519,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-3.75e-06,000003750,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000004500],10000,-2.26824e-05,2.239425e-05,4.5076650000000005e-05,0.09108332520265774,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-4.5e-06,000004500,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000005250],10000,-2.268276e-05,2.239501e-05,4.507777e-05,0.09936020876489643,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-5.25e-06,000005250,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000006000],10000,-2.268276e-05,2.23945e-05,4.507726e-05,0.09317360024811615,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-6e-06,000006000,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000006750],10000,-2.26823e-05,2.23943e-05,4.50766e-05,0.09536939498734469,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-6.75e-06,000006750,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000007500],10000,-2.268251e-05,2.239542e-05,4.507793e-05,0.09523610364279836,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-7.5e-06,000007500,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000008250],10000,-2.268266e-05,2.239506e-05,4.507772e-05,0.09090951526146678,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-8.25e-06,000008250,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000009000],10000,-2.268266e-05,2.239486e-05,4.507752e-05,0.09085436150090787,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-9e-06,000009000,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000009750],10000,-2.268159e-05,2.239613e-05,4.507772e-05,0.09704504054523085,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-9.75e-06,000009750,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000010500],10000,-2.268164e-05,2.239455e-05,4.507619e-05,0.09853821019226856,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-1.05e-05,000010500,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000011250],10000,-2.26819e-05,2.239465e-05,4.507655e-05,0.09520100035865052,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-1.125e-05,000011250,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000012000],10000,-2.268179e-05,2.239511e-05,4.5076899999999995e-05,0.0987412992890508,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-1.2e-05,000012000,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000012750],10000,-2.268139e-05,2.239511e-05,4.5076499999999994e-05,0.09460090778014897,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-1.275e-05,000012750,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000013500],10000,-2.268149e-05,2.239475e-05,4.507624e-05,0.089325385767923,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-1.35e-05,000013500,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000014250],10000,-2.2682e-05,2.239511e-05,4.5077109999999996e-05,0.09344598154018481,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-1.425e-05,000014250,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000015000],10000,-2.268159e-05,2.23945e-05,4.507609e-05,0.09254370923485876,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-1.5e-05,000015000,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000015750],10000,-2.268144e-05,2.239343e-05,4.507487e-05,0.09822227499269402,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-1.575e-05,000015750,
