file_id,n_branches,n_parity_valid,odd_ratio_post_branchsafe,odd_ratio_post_dispersion,delta_odd_ratio_post,I_knee_norm_branchsafe,delta_I_knee_norm,parity_lock_fraction,parity_lock_consistency,pipeline_version
"D4.2__Fig 1__IV_data__IV_BS16_C1S1_Vpp_7p500_FRQ_11_AVG_100_Vgain_2E3_Igain_1E5_Rb_0E0_Rser_0E0_____Temp_2.740E-1K_MEASres_1p4E1_Thu,May2,2019_82950PM",1,1,228.22019478274342,0.0,0.0,0.09774436090225563,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000000750],1,1,7.489286411316899,0.0,0.0,0.5889724310776943,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000001500],1,1,7.321131866928653,0.0,0.0,0.5914786967418546,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000002250],1,1,7.233924745588184,0.0,0.0,0.5889724310776943,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000003000],1,1,7.536117780113306,0.0,0.0,0.5889724310776943,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000003750],1,1,7.592774732132074,0.0,0.0,0.5889724310776943,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000004500],1,1,7.49924036308129,0.0,0.0,0.5864661654135338,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000005250],1,1,7.860613587509154,0.0,0.0,0.5864661654135339,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000006000],1,1,7.909639148052746,0.0,0.0,0.5864661654135339,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000006750],1,1,7.53673271635872,0.0,0.0,0.5864661654135339,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000007500],1,1,7.756167732459811,0.0,0.0,0.5864661654135339,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000008250],1,1,6.614978025247706,0.0,0.0,0.556390977443609,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000009000],1,1,7.451142024048519,0.0,0.0,0.5839598997493735,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000009750],1,1,6.951044337808447,0.0,0.0,0.5839598997493735,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000010500],1,1,6.733627160015029,0.0,0.0,0.5839598997493735,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000011250],1,1,6.544824802421735,0.0,0.0,0.556390977443609,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000012000],1,1,6.434387633263765,0.0,0.0,0.5588972431077694,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000012750],1,1,6.2550318596470325,0.0,0.0,0.5588972431077694,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000013500],1,1,6.414714769972189,0.0,0.0,0.5588972431077693,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000014250],1,1,6.727360612922871,0.0,0.0,0.5563909774436089,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000015000],1,1,6.344602411489667,0.0,0.0,0.5588972431077694,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000015750],1,1,6.186095234644001,0.0,0.0,0.5588972431077694,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000016500],1,1,6.405863473205171,0.0,0.0,0.5588972431077694,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000017250],1,1,6.689104303963233,0.0,0.0,0.5588972431077694,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000018000],1,1,7.177902869189812,0.0,0.0,0.5588972431077694,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000018750],1,1,6.989544380646289,0.0,0.0,0.556390977443609,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000019500],1,1,6.935759797518879,0.0,0.0,0.5588972431077693,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000020250],1,1,7.065715470781642,0.0,0.0,0.5588972431077693,0.0,0.0,1.0,6.0
