min_overlap,grid_method,grid_density,grid_n,n_segments,odd_ratio_post_median,parity_lock_fraction,phi0_abs_median,pipeline_version,sign_odd_ratio_post_z,sign_parity_lock_z,sign_phi0_abs_z,sign_null_n,phase_odd_ratio_post_z,phase_parity_lock_z,phase_phi0_abs_z,phase_null_n,pair_odd_ratio_post_z,pair_parity_lock_z,pair_phi0_abs_z,pair_null_n,odd_ratio_post_median_pct_change,parity_lock_fraction_pct_change,phi0_abs_median_pct_change,robust_within_pct
0.2,linear,low,200,1603,5.600455180543172,0.0012476606363069245,1.9737904374080875,6.0,,-6322289355896243.0,1.8857584177369833,20,106.61067682883737,-5.1757181937205505,-6.209089340297026,20,-30.701978728768545,-3.6536754135374823,56.42755975445846,20,-0.032548439663192354,,-0.0006701701185428293,True
0.2,linear,medium,401,1603,5.791378803884322,0.0,1.9737010918583278,6.0,-1264220519598297.2,,1.8857568542095113,20,93.90626725842674,-4.190127353135569,-8.282420929203738,20,-29.11540665064438,-3.4045256613924204,49.41327071113795,20,0.0004326933611840812,,-0.0007154057582287089,True
0.2,linear,high,802,1603,5.83970523354529,0.0031191515907673115,1.9737209910589828,6.0,-1348059737215853.5,,1.8858208865302397,20,74.90519187542608,-3.7954808360653947,-6.292923323788965,20,-30.828281444734056,-3.0565040119924887,45.49833258355588,20,0.00878085047945539,,-0.0007053307956447936,True
0.2,pchip,low,200,1603,5.5999799223199,0.0006238303181534623,,6.0,-1224031777114917.0,,,20,,,,0,-30.714565409490927,-3.6717695486646886,,20,-0.03263053822390661,,,True
0.2,pchip,medium,401,1603,5.7867343620632985,0.0,,6.0,-1269411530007000.2,,,20,,,,0,-29.242920702698814,-3.4045256613924204,,20,-0.00036961151257916585,,,True
0.2,pchip,high,802,1603,5.842423882507115,0.0031191515907673115,,6.0,-1344818791182093.5,,,20,,,,0,-30.761144400085968,-3.0565040119924887,,20,0.00925048394590339,,,True
0.35,linear,low,200,1603,5.600455180543172,0.0012476606363069245,1.9737904374080875,6.0,,-6322289355896243.0,1.8857584177369833,20,106.61067682883737,-5.1757181937205505,-6.209089340297026,20,-30.701978728768545,-3.6536754135374823,56.42755975445846,20,-0.032548439663192354,,-0.0006701701185428293,True
0.35,linear,medium,401,1603,5.791378803884322,0.0,1.9737010918583278,6.0,-1264220519598297.2,,1.8857568542095113,20,93.90626725842674,-4.190127353135569,-8.282420929203738,20,-29.11540665064438,-3.4045256613924204,49.41327071113795,20,0.0004326933611840812,,-0.0007154057582287089,True
0.35,linear,high,802,1603,5.83970523354529,0.0031191515907673115,1.9737209910589828,6.0,-1348059737215853.5,,1.8858208865302397,20,74.90519187542608,-3.7954808360653947,-6.292923323788965,20,-30.828281444734056,-3.0565040119924887,45.49833258355588,20,0.00878085047945539,,-0.0007053307956447936,True
0.35,pchip,low,200,1603,5.5999799223199,0.0006238303181534623,,6.0,-1224031777114917.0,,,20,,,,0,-30.714565409490927,-3.6717695486646886,,20,-0.03263053822390661,,,True
0.35,pchip,medium,401,1603,5.7867343620632985,0.0,,6.0,-1269411530007000.2,,,20,,,,0,-29.242920702698814,-3.4045256613924204,,20,-0.00036961151257916585,,,True
0.35,pchip,high,802,1603,5.842423882507115,0.0031191515907673115,,6.0,-1344818791182093.5,,,20,,,,0,-30.761144400085968,-3.0565040119924887,,20,0.00925048394590339,,,True
0.5,linear,low,200,1603,5.600455180543172,0.0012476606363069245,1.9737904374080875,6.0,,-6322289355896243.0,1.8857584177369833,20,106.61067682883737,-5.1757181937205505,-6.209089340297026,20,-30.701978728768545,-3.6536754135374823,56.42755975445846,20,-0.032548439663192354,,-0.0006701701185428293,True
0.5,linear,medium,401,1603,5.791378803884322,0.0,1.9737010918583278,6.0,-1264220519598297.2,,1.8857568542095113,20,93.90626725842674,-4.190127353135569,-8.282420929203738,20,-29.11540665064438,-3.4045256613924204,49.41327071113795,20,0.0004326933611840812,,-0.0007154057582287089,True
0.5,linear,high,802,1603,5.83970523354529,0.0031191515907673115,1.9737209910589828,6.0,-1348059737215853.5,,1.8858208865302397,20,74.90519187542608,-3.7954808360653947,-6.292923323788965,20,-30.828281444734056,-3.0565040119924887,45.49833258355588,20,0.00878085047945539,,-0.0007053307956447936,True
0.5,pchip,low,200,1603,5.5999799223199,0.0006238303181534623,,6.0,-1224031777114917.0,,,20,,,,0,-30.714565409490927,-3.6717695486646886,,20,-0.03263053822390661,,,True
0.5,pchip,medium,401,1603,5.7867343620632985,0.0,,6.0,-1269411530007000.2,,,20,,,,0,-29.242920702698814,-3.4045256613924204,,20,-0.00036961151257916585,,,True
0.5,pchip,high,802,1603,5.842423882507115,0.0031191515907673115,,6.0,-1344818791182093.5,,,20,,,,0,-30.761144400085968,-3.0565040119924887,,20,0.00925048394590339,,,True
0.65,linear,low,200,1603,5.600455180543172,0.0012476606363069245,1.9737904374080875,6.0,,-6322289355896243.0,1.8857584177369833,20,106.61067682883737,-5.1757181937205505,-6.209089340297026,20,-30.701978728768545,-3.6536754135374823,56.42755975445846,20,-0.032548439663192354,,-0.0006701701185428293,True
0.65,linear,medium,401,1603,5.791378803884322,0.0,1.9737010918583278,6.0,-1264220519598297.2,,1.8857568542095113,20,93.90626725842674,-4.190127353135569,-8.282420929203738,20,-29.11540665064438,-3.4045256613924204,49.41327071113795,20,0.0004326933611840812,,-0.0007154057582287089,True
0.65,linear,high,802,1603,5.83970523354529,0.0031191515907673115,1.9737209910589828,6.0,-1348059737215853.5,,1.8858208865302397,20,74.90519187542608,-3.7954808360653947,-6.292923323788965,20,-30.828281444734056,-3.0565040119924887,45.49833258355588,20,0.00878085047945539,,-0.0007053307956447936,True
0.65,pchip,low,200,1603,5.5999799223199,0.0006238303181534623,,6.0,-1224031777114917.0,,,20,,,,0,-30.714565409490927,-3.6717695486646886,,20,-0.03263053822390661,,,True
0.65,pchip,medium,401,1603,5.7867343620632985,0.0,,6.0,-1269411530007000.2,,,20,,,,0,-29.242920702698814,-3.4045256613924204,,20,-0.00036961151257916585,,,True
0.65,pchip,high,802,1603,5.842423882507115,0.0031191515907673115,,6.0,-1344818791182093.5,,,20,,,,0,-30.761144400085968,-3.0565040119924887,,20,0.00925048394590339,,,True
0.8,linear,low,200,1602,5.599793818479037,0.0012484394506866417,1.9753763616340345,6.0,,-6321851767790877.0,1.8918729198563515,20,106.5965810993404,-5.175693292620926,-6.173999892375984,20,-30.719494160875865,-3.6536528241053636,57.66275683035832,20,-0.03266268676280633,,0.00013278310125376514,True
0.8,linear,medium,401,1602,5.788873996537289,0.0,1.9751140998585253,6.0,-1266969273851202.5,,1.8912060204913494,20,93.86161669171254,-4.190127353135569,-8.242651789195444,20,-29.184176622740946,-3.4045256613924204,50.37419776154397,20,0.0,,0.0,True
0.8,linear,high,802,1602,5.839009988649849,0.003121098626716604,1.9751993706811493,6.0,-1348822693043741.0,,1.8915218755780605,20,74.8953364467514,-3.7954348303466556,-6.260626240808499,20,-30.84545051960986,-3.056452368752215,46.41776198724371,20,0.008660750284519896,,4.317260589152947e-05,True
0.8,pchip,low,200,1602,5.599843244338963,0.0006242197253433209,,6.0,-1224181766367313.2,,,20,,,,0,-30.71818517243997,-3.6717582539486293,,20,-0.03265414868442421,,,True
