min_overlap,grid_method,grid_density,robust_within_pct
0.2,linear,low,True
0.2,linear,medium,True
0.2,linear,high,True
0.2,pchip,low,True
0.2,pchip,medium,True
0.2,pchip,high,True
0.35,linear,low,True
0.35,linear,medium,True
0.35,linear,high,True
0.35,pchip,low,True
0.35,pchip,medium,True
0.35,pchip,high,True
0.5,linear,low,True
0.5,linear,medium,True
0.5,linear,high,True
0.5,pchip,low,True
0.5,pchip,medium,True
0.5,pchip,high,True
0.65,linear,low,True
0.65,linear,medium,True
0.65,linear,high,True
0.65,pchip,low,True
0.65,pchip,medium,True
0.65,pchip,high,True
0.8,linear,low,True
0.8,linear,medium,True
0.8,linear,high,True
0.8,pchip,low,True
0.8,pchip,medium,True
0.8,pchip,high,True
